country,iso,year,diabetes_prevalence,treatment_rate,obesity_prevalence
Netherlands,NLD,2022,0.06366779508148951,0.6588637019157475,16.91088
Norway,NOR,1990,0.0400717739244526,0.3782961524695625,8.83295
Norway,NOR,1991,0.0412331478554049,0.383569996518647,9.10546
Norway,NOR,1992,0.04237022424256775,0.3892102427893255,9.40117
Norway,NOR,1993,0.04345563993221585,0.395186236165607,9.72542
Norway,NOR,1994,0.0444637577182113,0.40148204121356346,10.08473
Norway,NOR,1995,0.04538655669937,0.4082260253618125,10.47732
Norway,NOR,1996,0.0461904435082546,0.415395157742557,10.89967
Norway,NOR,1997,0.04686026527416845,0.4229650597243425,11.34677
Norway,NOR,1998,0.04741577508526315,0.43085888068303047,11.81245
Norway,NOR,1999,0.047899587522429246,0.43905910952863103,12.29745
Norway,NOR,2000,0.04835843611342125,0.44744530099689,12.79336
Norway,NOR,2001,0.048852824960689004,0.456025415731665,13.29492
Norway,NOR,2002,0.0493622594523511,0.464858659160133,13.79144
Norway,NOR,2003,0.04988207201389745,0.47394920480390346,14.27716
Norway,NOR,2004,0.0503889628825882,0.4831803867199,14.75135
Norway,NOR,2005,0.05086860719407715,0.4925913963103995,15.20001
Norway,NOR,2006,0.0512898928797171,0.5021129752184135,15.61977
Norway,NOR,2007,0.05165522750854035,0.511755741635286,16.00425
Norway,NOR,2008,0.051958127039821944,0.5215583180590755,16.34802
Norway,NOR,2009,0.05216432172949005,0.531665056221754,16.65396
Norway,NOR,2010,0.0522557777561829,0.5419376698975631,16.92004
Norway,NOR,2011,0.052287424674531055,0.5523245143529065,17.15352
Norway,NOR,2012,0.05229284293300995,0.562658111556667,17.36741
Norway,NOR,2013,0.052328325257583005,0.572846873597638,17.57709
Norway,NOR,2014,0.0524162741564488,0.5827795975224235,17.79214
Norway,NOR,2015,0.0525768164912275,0.592396444594097,18.01757
Norway,NOR,2016,0.052809955123905655,0.601645355886739,18.25482
Norway,NOR,2017,0.0530962018019841,0.610525388944676,18.4957
Norway,NOR,2018,0.05349043544202085,0.619077419875995,18.73816
Norway,NOR,2019,0.05399864730615535,0.627320105277574,18.98198
Norway,NOR,2020,0.0546074182949089,0.635342172622514,19.2358
Norway,NOR,2021,0.055332741489415346,0.6432242589984225,19.49927
Norway,NOR,2022,0.056182415117878054,0.65087282648529,19.76505
Sweden,SWE,1990,0.030245861931240903,0.3605063442873535,9.52811
Sweden,SWE,1991,0.0311428431598915,0.366506017574981,9.82325
Sweden,SWE,1992,0.0320378629510084,0.372964896153881,10.13789
Sweden,SWE,1993,0.0329190379610725,0.37978017812569154,10.47519
Sweden,SWE,1994,0.033756756610640946,0.386964035610205,10.83366
Sweden,SWE,1995,0.034525494962088496,0.3946022232698355,11.2094
Sweden,SWE,1996,0.03520150243808705,0.402692462860039,11.60457
Sweden,SWE,1997,0.0357777368891923,0.411190743590953,12.01463
Sweden,SWE,1998,0.0362831237622946,0.4199971198584415,12.43182
Sweden,SWE,1999,0.036745405934428904,0.429016645178007,12.84817
Sweden,SWE,2000,0.037207346661076196,0.43814553461864447,13.2518
Sweden,SWE,2001,0.0377059968377039,0.44733459652108554,13.63781
Sweden,SWE,2002,0.0382480404117759,0.4566151143130245,14.00315
Sweden,SWE,2003,0.038828611082143,0.465936589858276,14.34285
Sweden,SWE,2004,0.039447723216629746,0.4751739905327935,14.65195
Sweden,SWE,2005,0.0400822746556734,0.48427985128406104,14.92271
Sweden,SWE,2006,0.0407128911423118,0.49320090952990747,15.15473
Sweden,SWE,2007,0.0413199198037528,0.5019793189439725,15.34991
Sweden,SWE,2008,0.0419019892589197,0.510609247556448,15.50526
Sweden,SWE,2009,0.04241720497088705,0.5191560389428145,15.62078
Sweden,SWE,2010,0.0428482583755063,0.527588330670467,15.69868
Sweden,SWE,2011,0.04322496895525095,0.53590433154809,15.74742
Sweden,SWE,2012,0.04358796553103245,0.5439256366865015,15.77695
Sweden,SWE,2013,0.0439850708951584,0.5515858812285346,15.8015
Sweden,SWE,2014,0.04443034296603565,0.5588321568688415,15.83272
Sweden,SWE,2015,0.0449458762041426,0.56569055035528,15.87697
Sweden,SWE,2016,0.045548415029554395,0.5721736604698395,15.93828
Sweden,SWE,2017,0.046218834886669,0.578322605883544,16.00645
Sweden,SWE,2018,0.0469715607581232,0.5841953022017645,16.07548
Sweden,SWE,2019,0.04783191088688,0.589843806665706,16.14687
Sweden,SWE,2020,0.0488149881298637,0.5953685099799715,16.22679
Sweden,SWE,2021,0.049913515815620146,0.6007178287332056,16.31432
Sweden,SWE,2022,0.051135094166972705,0.6058452716001286,16.4103
